"PVWatts Hourly PV Performance Data"
"Requested Location","5230 Dexter Ann Arbor Rd"
"Location","Lat, Lng: 42.29, -83.82"
"Latitude (DD)","42.29"
"Longitude (DD)","-83.82"
"Elevation (m)","268.2799987793"
"DC System Size (kW)","20"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","225"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","Yes (0.7)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-7","3.4","0.87","0","-7","0","0"
"1","1","1","0","0","-8","3.5","0.87","0","-8","0","0"
"1","1","2","0","0","-8","3.7","0.87","0","-8","0","0"
"1","1","3","0","0","-7","4","0.87","0","-7","0","0"
"1","1","4","0","0","-7","4.1","0.87","0","-7","0","0"
"1","1","5","0","0","-7","3.9","0.87","0","-7","0","0"
"1","1","6","0","0","-7","3.8","0.87","0","-7","0","0"
"1","1","7","0","0","-7","3.9","0.87","0","-7","0","0"
"1","1","8","0","18","-6","4.2","0.87","21.496","-5.752","252.743","164.516"
"1","1","9","0","49","-5","5.1","0.87","58.793","-4.309","1051.472","934.943"
"1","1","10","51","125","-5","5.8","0.87","176.454","-3.037","3269.324","3074.207"
"1","1","11","6","138","-4","6","0.87","172.637","-2.152","3191.075","2998.731"
"1","1","12","125","183","-4","6.1","0.87","332.871","-0.348","6233.348","5933.204"
"1","1","13","3","140","-4","6","0.87","177.075","-2.108","3272.008","3076.796"
"1","1","14","20","128","-4","5.7","0.87","177.01","-2.017","3285.349","3089.664"
"1","1","15","103","93","-5","5.2","0.87","190.775","-2.495","3564.863","3359.274"
"1","1","16","396","37","-6","4.7","0.87","183.939","-3.287","3174.334","2982.583"
"1","1","17","0","0","-6","4.2","0.87","0","-6","0","0"
"1","1","18","0","0","-7","4.1","0.87","0","-7","0","0"
"1","1","19","0","0","-8","4.3","0.87","0","-8","0","0"
"1","1","20","0","0","-8","4.5","0.87","0","-8","0","0"
"1","1","21","0","0","-9","4.5","0.87","0","-9","0","0"
"1","1","22","0","0","-9","4.2","0.87","0","-9","0","0"
"1","1","23","0","0","-10","3.9","0.87","0","-10","0","0"
"1","2","0","0","0","-11","3.8","0.87","0","-11","0","0"
"1","2","1","0","0","-11","3.8","0.87","0","-11","0","0"
"1","2","2","0","0","-11","3.8","0.87","0","-11","0","0"
"1","2","3","0","0","-11","3.8","0.87","0","-11","0","0"
"1","2","4","0","0","-11","4.1","0.87","0","-11","0","0"
"1","2","5","0","0","-10","4.5","0.87","0","-10","0","0"
"1","2","6","0","0","-10","4.9","0.87","0","-10","0","0"
"1","2","7","0","0","-11","5.3","0.87","0","-11","0","0"
"1","2","8","199","26","-11","5.7","0.87","34.586","-10.748","424.966","330.636"
"1","2","9","185","74","-12","6.2","0.87","134.877","-10.591","2370.028","2206.777"
"1","2","10","775","83","-12","6.5","0.87","448.393","-7.126","8425.101","8047.295"
"1","2","11","858","91","-11","6.6","0.87","638.791","-4.017","12349.445","11832.583"
"1","2","12","890","93","-11","6.6","0.87","769.746","-2.661","14787.235","14183.994"
"1","2","13","883","89","-11","6.5","0.87","809.95","-2.18","15549.613","14919.358"
"1","2","14","836","80","-11","6.2","0.87","737.645","-2.576","14240.652","13656.778"
"1","2","15","726","64","-11","5.9","0.87","521.375","-4.135","10098.521","9661.419"
"1","2","16","460","36","-12","5.3","0.87","203.41","-9.197","3615.413","3408.033"
"1","2","17","0","0","-13","4.6","0.87","0","-13","0","0"
"1","2","18","0","0","-15","4.1","0.87","0","-15","0","0"
"1","2","19","0","0","-16","4","0.87","0","-16","0","0"
"1","2","20","0","0","-17","3.9","0.87","0","-17","0","0"
"1","2","21","0","0","-17","3.8","0.87","0","-17","0","0"
"1","2","22","0","0","-18","3.8","0.87","0","-18","0","0"
"1","2","23","0","0","-19","3.8","0.87","0","-19","0","0"
"1","3","0","0","0","-19","3.9","0.87","0","-19","0","0"
"1","3","1","0","0","-19","4","0.87","0","-19","0","0"
"1","3","2","0","0","-19","4.1","0.87","0","-19","0","0"
"1","3","3","0","0","-19","4.2","0.87","0","-19","0","0"
"1","3","4","0","0","-19","4.3","0.87","0","-19","0","0"
"1","3","5","0","0","-18","4.5","0.87","0","-18","0","0"
"1","3","6","0","0","-18","4.6","0.87","0","-18","0","0"
"1","3","7","0","0","-17","5","0.87","0","-17","0","0"
"1","3","8","235","24","-16","5.6","0.87","34.493","-15.754","432.592","337.993"
"1","3","9","583","65","-14","6.3","0.87","219.695","-11.748","3671.592","3462.222"
"1","3","10","742","85","-12","6.8","0.87","436.518","-7.406","8209.651","7839.479"
"1","3","11","823","93","-10","7.2","0.87","622.309","-3.598","12010.872","11506.007"
"1","3","12","849","95","-8","7.4","0.87","744.663","-0.568","14205.931","13623.287"
"1","3","13","827","96","-7","7.3","0.87","782.03","0.845","14859.287","14253.492"
"1","3","14","283","134","-7","6.9","0.87","403.881","-2.813","7729.002","7375.861"
"1","3","15","13","89","-7","6.3","0.87","120.841","-5.709","2241.933","2083.221"
"1","3","16","64","39","-7","5.9","0.87","80.437","-6.044","1382.339","1254.086"
"1","3","17","0","0","-7","6","0.87","0","-7","0","0"
"1","3","18","0","0","-7","6.1","0.87","0","-7","0","0"
"1","3","19","0","0","-7","6.3","0.87","0","-7","0","0"
"1","3","20","0","0","-7","6.3","0.87","0","-7","0","0"
"1","3","21","0","0","-7","6.2","0.87","0","-7","0","0"
"1","3","22","0","0","-8","6.2","0.87","0","-8","0","0"
"1","3","23","0","0","-8","6.1","0.87","0","-8","0","0"
"1","4","0","0","0","-8","5.8","0.87","0","-8","0","0"
"1","4","1","0","0","-8","5.6","0.87","0","-8","0","0"
"1","4","2","0","0","-8","5.4","0.87","0","-8","0","0"
"1","4","3","0","0","-8","5.2","0.87","0","-8","0","0"
"1","4","4","0","0","-8","5.1","0.87","0","-8","0","0"
"1","4","5","0","0","-8","4.9","0.87","0","-8","0","0"
"1","4","6","0","0","-8","4.8","0.87","0","-8","0","0"
"1","4","7","0","0","-8","4.8","0.87","0","-8","0","0"
"1","4","8","0","8","-7","4.9","0.87","9.572","-6.899","109.456","26.306"
"1","4","9","0","53","-7","5.2","0.87","63.574","-6.261","1148.853","1028.873"
"1","4","10","0","56","-6","5.4","0.87","67.21","-5.237","1222.577","1099.985"
"1","4","11","120","168","-6","5.3","0.87","288.629","-2.519","5436.244","5164.345"
"1","4","12","0","62","-5","5.1","0.87","74.434","-4.124","1346.212","1219.239"
"1","4","13","0","80","-5","4.9","0.87","96.325","-3.837","1757.147","1615.613"
"1","4","14","0","66","-5","4.5","0.87","79.249","-3.991","1441.742","1311.384"
"1","4","15","0","17","-5","4","0.87","20.354","-4.722","352.637","260.87"
"1","4","16","0","11","-5","3.5","0.87","13.163","-4.81","211.314","124.555"
"1","4","17","0","0","-6","3.4","0.87","0","-6","0","0"
"1","4","18","0","0","-6","3.3","0.87","0","-6","0","0"
"1","4","19","0","0","-7","3.1","0.87","0","-7","0","0"
"1","4","20","0","0","-7","3.1","0.87","0","-7","0","0"
"1","4","21","0","0","-8","3.1","0.87","0","-8","0","0"
"1","4","22","0","0","-9","3.2","0.87","0","-9","0","0"
"1","4","23","0","0","-10","3.2","0.87","0","-10","0","0"
"1","5","0","0","0","-10","3.2","0.87","0","-10","0","0"
"1","5","1","0","0","-11","3.2","0.87","0","-11","0","0"
"1","5","2","0","0","-11","3.2","0.87","0","-11","0","0"
"1","5","3","0","0","-11","3.2","0.87","0","-11","0","0"
"1","5","4","0","0","-10","3.2","0.87","0","-10","0","0"
"1","5","5","0","0","-10","3.4","0.87","0","-10","0","0"
"1","5","6","0","0","-9","3.5","0.87","0","-9","0","0"
"1","5","7","0","0","-8","3.7","0.87","0","-8","0","0"
"1","5","8","0","10","-7","4","0.87","11.971","-6.857","138.124","53.958"
"1","5","9","0","63","-6","4.6","0.87","75.522","-5.051","1366.682","1238.984"
"1","5","10","0","104","-4","5.3","0.87","125.78","-2.545","2312.072","2150.875"
"1","5","11","0","104","-3","5.6","0.87","125.989","-1.598","2300.924","2140.122"
"1","5","12","0","128","-3","5.6","0.87","156.853","-1.252","2874.188","2693.073"
"1","5","13","0","137","-3","5.3","0.87","170.352","-1.028","3129.678","2939.51"
"1","5","14","0","95","-3","4.6","0.87","116.842","-1.524","2133.102","1978.247"
"1","5","15","643","70","-3","3.9","0.87","489.054","5.241","9168.623","8764.471"
"1","5","16","0","11","-3","3.5","0.87","13.163","-2.809","210.347","123.623"
"1","5","17","0","0","-3","3.7","0.87","0","-3","0","0"
"1","5","18","0","0","-3","3.9","0.87","0","-3","0","0"
"1","5","19","0","0","-4","3.6","0.87","0","-4","0","0"
"1","5","20","0","0","-4","3.3","0.87","0","-4","0","0"
"1","5","21","0","0","-5","3.3","0.87","0","-5","0","0"
"1","5","22","0","0","-5","3.4","0.87","0","-5","0","0"
