"PVWatts Hourly PV Performance Data"
"Requested Location","5230 Dexter Ann Arbor Rd"
"Location","Lat, Lng: 42.29, -83.82"
"Latitude (DD)","42.29"
"Longitude (DD)","-83.82"
"Elevation (m)","268.2799987793"
"DC System Size (kW)","8.55"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","225"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","Yes (0.7)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-7","3.4","0.87","0","-7","0","0"
"1","1","1","0","0","-8","3.5","0.87","0","-8","0","0"
"1","1","2","0","0","-8","3.7","0.87","0","-8","0","0"
"1","1","3","0","0","-7","4","0.87","0","-7","0","0"
"1","1","4","0","0","-7","4.1","0.87","0","-7","0","0"
"1","1","5","0","0","-7","3.9","0.87","0","-7","0","0"
"1","1","6","0","0","-7","3.8","0.87","0","-7","0","0"
"1","1","7","0","0","-7","3.9","0.87","0","-7","0","0"
"1","1","8","0","18","-6","4.2","0.87","21.507","-5.751","108.087","70.368"
"1","1","9","0","49","-5","5.1","0.87","58.823","-4.308","449.666","399.844"
"1","1","10","51","125","-5","5.8","0.87","176.554","-3.035","1398.184","1314.752"
"1","1","11","6","138","-4","6","0.87","172.725","-2.151","1364.664","1282.42"
"1","1","12","125","183","-4","6.1","0.87","333.046","-0.346","2665.701","2537.356"
"1","1","13","3","140","-4","6","0.87","177.163","-2.107","1399.261","1315.791"
"1","1","14","20","128","-4","5.7","0.87","177.097","-2.016","1404.967","1321.295"
"1","1","15","103","93","-5","5.2","0.87","190.879","-2.494","1524.543","1436.633"
"1","1","16","396","37","-6","4.7","0.87","188.483","-3.217","1390.868","1307.695"
"1","1","17","0","0","-6","4.2","0.87","0","-6","0","0"
"1","1","18","0","0","-7","4.1","0.87","0","-7","0","0"
"1","1","19","0","0","-8","4.3","0.87","0","-8","0","0"
"1","1","20","0","0","-8","4.5","0.87","0","-8","0","0"
"1","1","21","0","0","-9","4.5","0.87","0","-9","0","0"
"1","1","22","0","0","-9","4.2","0.87","0","-9","0","0"
"1","1","23","0","0","-10","3.9","0.87","0","-10","0","0"
"1","2","0","0","0","-11","3.8","0.87","0","-11","0","0"
"1","2","1","0","0","-11","3.8","0.87","0","-11","0","0"
"1","2","2","0","0","-11","3.8","0.87","0","-11","0","0"
"1","2","3","0","0","-11","3.8","0.87","0","-11","0","0"
"1","2","4","0","0","-11","4.1","0.87","0","-11","0","0"
"1","2","5","0","0","-10","4.5","0.87","0","-10","0","0"
"1","2","6","0","0","-10","4.9","0.87","0","-10","0","0"
"1","2","7","0","0","-11","5.3","0.87","0","-11","0","0"
"1","2","8","199","26","-11","5.7","0.87","34.627","-10.748","181.826","141.495"
"1","2","9","185","74","-12","6.2","0.87","135.004","-10.59","1013.895","944.08"
"1","2","10","775","83","-12","6.5","0.87","448.792","-7.121","3603.924","3442.334"
"1","2","11","858","91","-11","6.6","0.87","639.262","-4.012","5281.886","5060.839"
"1","2","12","890","93","-11","6.6","0.87","770.249","-2.655","6324.15","6066.172"
"1","2","13","883","89","-11","6.5","0.87","810.438","-2.174","6649.976","6380.452"
"1","2","14","836","80","-11","6.2","0.87","738.078","-2.57","6090.139","5840.452"
"1","2","15","726","64","-11","5.9","0.87","521.738","-4.13","4319.066","4132.136"
"1","2","16","460","36","-12","5.3","0.87","208.53","-9.124","1584.761","1494.718"
"1","2","17","0","0","-13","4.6","0.87","0","-13","0","0"
"1","2","18","0","0","-15","4.1","0.87","0","-15","0","0"
"1","2","19","0","0","-16","4","0.87","0","-16","0","0"
"1","2","20","0","0","-17","3.9","0.87","0","-17","0","0"
"1","2","21","0","0","-17","3.8","0.87","0","-17","0","0"
"1","2","22","0","0","-18","3.8","0.87","0","-18","0","0"
"1","2","23","0","0","-19","3.8","0.87","0","-19","0","0"
"1","3","0","0","0","-19","3.9","0.87","0","-19","0","0"
"1","3","1","0","0","-19","4","0.87","0","-19","0","0"
"1","3","2","0","0","-19","4.1","0.87","0","-19","0","0"
"1","3","3","0","0","-19","4.2","0.87","0","-19","0","0"
"1","3","4","0","0","-19","4.3","0.87","0","-19","0","0"
"1","3","5","0","0","-18","4.5","0.87","0","-18","0","0"
"1","3","6","0","0","-18","4.6","0.87","0","-18","0","0"
"1","3","7","0","0","-17","5","0.87","0","-17","0","0"
"1","3","8","235","24","-16","5.6","0.87","34.538","-15.753","185.102","144.655"
"1","3","9","583","65","-14","6.3","0.87","219.992","-11.745","1571.274","1481.709"
"1","3","10","742","85","-12","6.8","0.87","436.903","-7.401","3511.751","3353.427"
"1","3","11","823","93","-10","7.2","0.87","622.764","-3.593","5137.072","4921.157"
"1","3","12","849","95","-8","7.4","0.87","745.148","-0.563","6075.546","5826.376"
"1","3","13","827","96","-7","7.3","0.87","782.496","0.85","6354.739","6095.677"
"1","3","14","283","134","-7","6.9","0.87","404.094","-2.811","3305.305","3154.297"
"1","3","15","13","89","-7","6.3","0.87","120.901","-5.708","958.76","890.898"
"1","3","16","64","39","-7","5.9","0.87","81.15","-6.034","596.251","541.235"
"1","3","17","0","0","-7","6","0.87","0","-7","0","0"
"1","3","18","0","0","-7","6.1","0.87","0","-7","0","0"
"1","3","19","0","0","-7","6.3","0.87","0","-7","0","0"
"1","3","20","0","0","-7","6.3","0.87","0","-7","0","0"
"1","3","21","0","0","-7","6.2","0.87","0","-7","0","0"
"1","3","22","0","0","-8","6.2","0.87","0","-8","0","0"
"1","3","23","0","0","-8","6.1","0.87","0","-8","0","0"
"1","4","0","0","0","-8","5.8","0.87","0","-8","0","0"
"1","4","1","0","0","-8","5.6","0.87","0","-8","0","0"
"1","4","2","0","0","-8","5.4","0.87","0","-8","0","0"
"1","4","3","0","0","-8","5.2","0.87","0","-8","0","0"
"1","4","4","0","0","-8","5.1","0.87","0","-8","0","0"
"1","4","5","0","0","-8","4.9","0.87","0","-8","0","0"
"1","4","6","0","0","-8","4.8","0.87","0","-8","0","0"
"1","4","7","0","0","-8","4.8","0.87","0","-8","0","0"
"1","4","8","0","8","-7","4.9","0.87","9.577","-6.899","46.809","11.262"
"1","4","9","0","53","-7","5.2","0.87","63.607","-6.261","491.311","440.013"
"1","4","10","0","56","-6","5.4","0.87","67.244","-5.236","522.839","470.424"
"1","4","11","120","168","-6","5.3","0.87","288.79","-2.517","2324.874","2208.606"
"1","4","12","0","62","-5","5.1","0.87","74.473","-4.124","575.712","521.424"
"1","4","13","0","80","-5","4.9","0.87","96.374","-3.836","751.448","690.932"
"1","4","14","0","66","-5","4.5","0.87","79.289","-3.991","616.565","560.829"
"1","4","15","0","17","-5","4","0.87","20.364","-4.722","150.807","111.575"
"1","4","16","0","11","-5","3.5","0.87","13.169","-4.81","90.369","53.279"
"1","4","17","0","0","-6","3.4","0.87","0","-6","0","0"
"1","4","18","0","0","-6","3.3","0.87","0","-6","0","0"
"1","4","19","0","0","-7","3.1","0.87","0","-7","0","0"
"1","4","20","0","0","-7","3.1","0.87","0","-7","0","0"
"1","4","21","0","0","-8","3.1","0.87","0","-8","0","0"
"1","4","22","0","0","-9","3.2","0.87","0","-9","0","0"
"1","4","23","0","0","-10","3.2","0.87","0","-10","0","0"
"1","5","0","0","0","-10","3.2","0.87","0","-10","0","0"
"1","5","1","0","0","-11","3.2","0.87","0","-11","0","0"
"1","5","2","0","0","-11","3.2","0.87","0","-11","0","0"
"1","5","3","0","0","-11","3.2","0.87","0","-11","0","0"
"1","5","4","0","0","-10","3.2","0.87","0","-10","0","0"
"1","5","5","0","0","-10","3.4","0.87","0","-10","0","0"
"1","5","6","0","0","-9","3.5","0.87","0","-9","0","0"
"1","5","7","0","0","-8","3.7","0.87","0","-8","0","0"
"1","5","8","0","10","-7","4","0.87","11.978","-6.857","59.069","23.088"
"1","5","9","0","63","-6","4.6","0.87","75.561","-5.05","584.466","529.868"
"1","5","10","0","104","-4","5.3","0.87","125.844","-2.544","988.76","919.836"
"1","5","11","0","104","-3","5.6","0.87","126.052","-1.597","983.992","915.237"
"1","5","12","0","128","-3","5.6","0.87","156.932","-1.251","1229.143","1151.701"
"1","5","13","0","137","-3","5.3","0.87","170.436","-1.027","1338.395","1257.082"
"1","5","14","0","95","-3","4.6","0.87","116.9","-1.523","912.218","846.006"
"1","5","15","643","70","-3","3.9","0.87","489.381","5.246","3921.282","3748.447"
"1","5","16","0","11","-3","3.5","0.87","13.169","-2.809","89.956","52.88"
"1","5","17","0","0","-3","3.7","0.87","0","-3","0","0"
"1","5","18","0","0","-3","3.9","0.87","0","-3","0","0"
"1","5","19","0","0","-4","3.6","0.87","0","-4","0","0"
"1","5","20","0","0","-4","3.3","0.87","0","-4","0","0"
"1","5","21","0","0","-5","3.3","0.87","0","-5","0","0"
"1","5","22","0","0","-5","3.4","0.87","0","-5","0","0"
"1","5","23","0","0","-6","3.5","0.87","0","-6","0","0"
